Pathway identifier,Pathway name,#Entities found,#Entities total,Entities ratio,Entities pValue,Entities FDR,#Reactions found,#Reactions total,Reactions ratio,Species identifier,Species name,Submitted entities found,Mapped entities,Found reaction identifiers
R-HSA-72649,Translation initiation complex formation,2,62,0.004009312,0.732079505,0.732079505,2,2,1.36E-04,9606,Homo sapiens,EIF4A2;EIF4G2,,R-HSA-156808;R-HSA-157849
R-HSA-5610780,Degradation of GLI1 by the proteasome,2,62,0.004009312,0.732079505,0.732079505,2,6,4.08E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-5610758;R-HSA-5610760
R-HSA-5610783,Degradation of GLI2 by the proteasome,2,62,0.004009312,0.732079505,0.732079505,1,5,3.40E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-5610757
R-HSA-187577,SCF(Skp2)-mediated degradation of p27/p21,2,62,0.004009312,0.732079505,0.732079505,1,7,4.75E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-187574
R-HSA-9725370,Signaling by ALK fusions and activated point mutants,4,119,0.007695292,0.73307495,0.73307495,5,63,0.004279019,9606,Homo sapiens,STAT1;JUNB,,R-HSA-9851142;R-HSA-9725345;R-HSA-9851088;R-HSA-9851084;R-HSA-9725342
R-HSA-9700206,Signaling by ALK in cancer,4,119,0.007695292,0.73307495,0.73307495,5,71,0.004822387,9606,Homo sapiens,STAT1;JUNB,,R-HSA-9851142;R-HSA-9725345;R-HSA-9851088;R-HSA-9851084;R-HSA-9725342
R-HSA-195253,Degradation of beta-catenin by the destruction complex,3,91,0.005884635,0.733148048,0.733148048,6,23,0.001562182,9606,Homo sapiens,TCF7L1;REG;PSME2,,R-HSA-5334050;R-HSA-8944349;R-HSA-8944352;R-HSA-4641231;R-HSA-2130282;R-HSA-5229348
R-HSA-4839726,Chromatin organization,9,254,0.016425246,0.735349527,0.735349527,74,85,0.00577328,9606,Homo sapiens,PRMT6;SMARCD1;HIST1H2AJ;HIST1H4I;JAK2;SMAP2;HIST1H3C;HIST1H2AB,,R-HSA-5159245;R-HSA-5205824;R-HSA-5661126;R-HSA-5144542;R-HSA-5651654;R-HSA-5661124;R-HSA-5661125;R-HSA-5661122;R-HSA-5661123;R-HSA-5661120;R-HSA-5661121;R-HSA-5229010;R-HSA-4722133;R-HSA-5651657;R-HSA-5205867;R-HSA-5216234;R-HSA-5634802;R-HSA-3321883;R-HSA-5205861;R-HSA-5638141;R-HSA-3215391;R-HSA-5649764;R-HSA-3697920;R-HSA-3318415;R-HSA-4827383;R-HSA-4827382;R-HSA-3318413;R-HSA-4754187;R-HSA-5244692;R-HSA-3321975;R-HSA-3782655;R-HSA-3301237;R-HSA-5218952;R-HSA-3662335;R-HSA-5212679;R-HSA-3697008;R-HSA-4754176;R-HSA-8865613;R-HSA-4754181;R-HSA-5225602;R-HSA-3777129;R-HSA-5649799;R-HSA-3301345;R-HSA-3782637;R-HSA-3662318;R-HSA-5638157;R-HSA-5229203;R-HSA-5649802;R-HSA-3769447;R-HSA-5649800;R-HSA-5423117;R-HSA-5649801;R-HSA-3247569;R-HSA-5637686;R-HSA-3318486;R-HSA-5205799;R-HSA-3215448;R-HSA-5205798;R-HSA-5661116;R-HSA-5638332;R-HSA-5634750;R-HSA-5638333;R-HSA-5661117;R-HSA-5423038;R-HSA-5661114;R-HSA-5661115;R-HSA-3214912;R-HSA-5205822;R-HSA-5205820;R-HSA-4724284;R-HSA-5634729;R-HSA-5225649;R-HSA-3321805;R-HSA-4724279
R-HSA-3247509,Chromatin modifying enzymes,9,254,0.016425246,0.735349527,0.735349527,74,85,0.00577328,9606,Homo sapiens,PRMT6;SMARCD1;HIST1H2AJ;HIST1H4I;JAK2;SMAP2;HIST1H3C;HIST1H2AB,,R-HSA-5159245;R-HSA-5205824;R-HSA-5661126;R-HSA-5144542;R-HSA-5651654;R-HSA-5661124;R-HSA-5661125;R-HSA-5661122;R-HSA-5661123;R-HSA-5661120;R-HSA-5661121;R-HSA-5229010;R-HSA-4722133;R-HSA-5651657;R-HSA-5205867;R-HSA-5216234;R-HSA-5634802;R-HSA-3321883;R-HSA-5205861;R-HSA-5638141;R-HSA-3215391;R-HSA-5649764;R-HSA-3697920;R-HSA-3318415;R-HSA-4827383;R-HSA-4827382;R-HSA-3318413;R-HSA-4754187;R-HSA-5244692;R-HSA-3321975;R-HSA-3782655;R-HSA-3301237;R-HSA-5218952;R-HSA-3662335;R-HSA-5212679;R-HSA-3697008;R-HSA-4754176;R-HSA-8865613;R-HSA-4754181;R-HSA-5225602;R-HSA-3777129;R-HSA-5649799;R-HSA-3301345;R-HSA-3782637;R-HSA-3662318;R-HSA-5638157;R-HSA-5229203;R-HSA-5649802;R-HSA-3769447;R-HSA-5649800;R-HSA-5423117;R-HSA-5649801;R-HSA-3247569;R-HSA-5637686;R-HSA-3318486;R-HSA-5205799;R-HSA-3215448;R-HSA-5205798;R-HSA-5661116;R-HSA-5638332;R-HSA-5634750;R-HSA-5638333;R-HSA-5661117;R-HSA-5423038;R-HSA-5661114;R-HSA-5661115;R-HSA-3214912;R-HSA-5205822;R-HSA-5205820;R-HSA-4724284;R-HSA-5634729;R-HSA-5225649;R-HSA-3321805;R-HSA-4724279
R-HSA-525793,Myogenesis,1,32,0.002069322,0.738216826,0.738216826,10,14,9.51E-04,9606,Homo sapiens,CDON,,R-HSA-376117;R-HSA-375141;R-HSA-448951;R-HSA-375140;R-HSA-376119;R-HSA-449200;R-HSA-375138;R-HSA-448958;R-HSA-448957;R-HSA-376121
R-HSA-110373,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,1,32,0.002069322,0.738216826,0.738216826,6,19,0.001290498,9606,Homo sapiens,CDC27,,R-HSA-110368;R-HSA-110371;R-HSA-5651809;R-HSA-110363;R-HSA-5651805;R-HSA-110364
R-HSA-9615933,Postmitotic nuclear pore complex (NPC) reformation,1,32,0.002069322,0.738216826,0.738216826,3,10,6.79E-04,9606,Homo sapiens,NUP214,,R-HSA-9634219;R-HSA-9618378;R-HSA-9634169
R-HSA-1660514,Synthesis of PIPs at the Golgi membrane,1,32,0.002069322,0.738216826,0.738216826,1,11,7.47E-04,9606,Homo sapiens,PIK3C2G,,R-HSA-1675928
R-HSA-9013404,RAC2 GTPase cycle,3,92,0.005949302,0.73982748,0.73982748,1,10,6.79E-04,9606,Homo sapiens,TIAM1;TRIO;DOCK1,,R-HSA-9014296
R-HSA-168898,Toll-like Receptor Cascades,7,202,0.013062597,0.740358385,0.740358385,58,198,0.013448346,9606,Homo sapiens,MAP2K3;NLRX1;NOD1;HMGB1;CD36;APOB;TLR4,,R-HSA-166286;R-HSA-166284;R-HSA-2559414;R-HSA-8870678;R-HSA-5362500;R-HSA-936985;R-HSA-166168;R-HSA-450333;R-HSA-166041;R-HSA-166175;R-HSA-2562564;R-HSA-8869667;R-HSA-450337;R-HSA-5432825;R-HSA-450346;R-HSA-937022;R-HSA-450358;R-HSA-2213017;R-HSA-6805981;R-HSA-166072;R-HSA-166082;R-HSA-5432849;R-HSA-2201316;R-HSA-5432852;R-HSA-2569057;R-HSA-166091;R-HSA-2562541;R-HSA-2201322;R-HSA-9749471;R-HSA-937029;R-HSA-2559464;R-HSA-6805943;R-HSA-168915;R-HSA-2262775;R-HSA-166362;R-HSA-166363;R-HSA-2262777;R-HSA-2201338;R-HSA-168921;R-HSA-6804100;R-HSA-936941;R-HSA-168166;R-HSA-6804099;R-HSA-166119;R-HSA-166245;R-HSA-5362486;R-HSA-2201293;R-HSA-937059;R-HSA-168950;R-HSA-936952;R-HSA-2559568;R-HSA-937079;R-HSA-936951;R-HSA-168184;R-HSA-166271;R-HSA-937075;R-HSA-936947;R-HSA-450296
R-HSA-112316,Neuronal System,18,490,0.031686498,0.743534726,0.743534726,46,221,0.015010528,9606,Homo sapiens,NLGN4Y;BCHE;GABBR2;KCNH4;KCNJ6;CHRNB3;PRKAA2;SLC32A1;ABCC8;CHRNA7;KCNA4;SORBS2;ADCY1;GRIP2;LRFN3;SLITRK6;KCNJ1;SLC18A2,,R-HSA-888589;R-HSA-380869;R-HSA-9619542;R-HSA-9619478;R-HSA-6794338;R-HSA-421007;R-HSA-1296024;R-HSA-392206;R-HSA-6797803;R-HSA-6794346;R-HSA-6794345;R-HSA-6794344;R-HSA-374922;R-HSA-629595;R-HSA-6794357;R-HSA-1013020;R-HSA-6797554;R-HSA-629596;R-HSA-629599;R-HSA-420688;R-HSA-1013013;R-HSA-1013012;R-HSA-380574;R-HSA-8849882;R-HSA-888592;R-HSA-442715;R-HSA-416985;R-HSA-380901;R-HSA-372519;R-HSA-6797568;R-HSA-170666;R-HSA-9619515;R-HSA-1296127;R-HSA-380905;R-HSA-9617535;R-HSA-170671;R-HSA-380586;R-HSA-170674;R-HSA-8849908;R-HSA-374899;R-HSA-416639;R-HSA-372542;R-HSA-170686;R-HSA-1296045;R-HSA-917744;R-HSA-622326
R-HSA-6802957,Oncogenic MAPK signaling,3,93,0.006013968,0.74637364,0.74637364,9,46,0.003124363,9606,Homo sapiens,TRIM24;AP3B1;JAK2,,R-HSA-6802935;R-HSA-6802934;R-HSA-6802933;R-HSA-6802932;R-HSA-6802916;R-HSA-9656212;R-HSA-6802927;R-HSA-6802941;R-HSA-6802924
R-HSA-202733,Cell surface interactions at the vascular wall,9,257,0.016619245,0.747496662,0.747496662,9,65,0.004414861,9606,Homo sapiens,SELP;IGHV3-3;PSG8;CEACAM5;CEACAM21;PSG2;APOB;CD44,,R-HSA-202723;R-HSA-8858498;R-HSA-2870221;R-HSA-202724;R-HSA-8867135;R-HSA-203130;R-HSA-8858428;R-HSA-8870732;R-HSA-202717
R-HSA-72702,Ribosomal scanning and start codon recognition,2,64,0.004138645,0.747905123,0.747905123,2,2,1.36E-04,9606,Homo sapiens,EIF4A2;EIF4G2,,R-HSA-72697;R-HSA-72621
R-HSA-5654736,Signaling by FGFR1,2,64,0.004138645,0.747905123,0.747905123,33,48,0.003260205,9606,Homo sapiens,FLG,,R-HSA-5654167;R-HSA-5654165;R-HSA-5654672;R-HSA-5654673;R-HSA-5654596;R-HSA-5654597;R-HSA-5654149;R-HSA-5654594;R-HSA-191062;R-HSA-5656064;R-HSA-5654592;R-HSA-190427;R-HSA-5654600;R-HSA-190429;R-HSA-5654582;R-HSA-5654578;R-HSA-5654514;R-HSA-190245;R-HSA-5654591;R-HSA-5654586;R-HSA-5654587;R-HSA-5654584;R-HSA-5654392;R-HSA-5654692;R-HSA-190256;R-HSA-5654690;R-HSA-5654560;R-HSA-5654575;R-HSA-5654573;R-HSA-5654571;R-HSA-190268;R-HSA-8941623;R-HSA-5654569
R-HSA-5387390,Hh mutants abrogate ligand secretion,2,64,0.004138645,0.747905123,0.747905123,1,7,4.75E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-5387392
R-HSA-193648,NRAGE signals death through JNK,2,64,0.004138645,0.747905123,0.747905123,1,7,4.75E-04,9606,Homo sapiens,TIAM1;TRIO,,R-HSA-205039
R-HSA-109606,Intrinsic Pathway for Apoptosis,2,64,0.004138645,0.747905123,0.747905123,2,63,0.004279019,9606,Homo sapiens,BCL2L1,,R-HSA-508162;R-HSA-6790025
R-HSA-3928663,EPHA-mediated growth cone collapse,1,33,0.002133989,0.748965757,0.748965757,1,4,2.72E-04,9606,Homo sapiens,ROCK1,,R-HSA-3928616
R-HSA-75109,Triglyceride biosynthesis,1,33,0.002133989,0.748965757,0.748965757,1,7,4.75E-04,9606,Homo sapiens,MOGAT2,,R-HSA-6800334
R-HSA-9006115,Signaling by NTRK2 (TRKB),1,33,0.002133989,0.748965757,0.748965757,3,38,0.002580996,9606,Homo sapiens,TIAM1,,R-HSA-9033276;R-HSA-9033292;R-HSA-9033284
R-HSA-201451,Signaling by BMP,1,33,0.002133989,0.748965757,0.748965757,1,17,0.001154656,9606,Homo sapiens,GREM2,,R-HSA-201810
R-HSA-6803204,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,1,33,0.002133989,0.748965757,0.748965757,1,25,0.001698024,9606,Homo sapiens,ATM,,R-HSA-6799097
R-HSA-877300,Interferon gamma signaling,6,177,0.011445939,0.749628972,0.749628972,21,23,0.001562182,9606,Homo sapiens,STAT1;OAS3;JAK2;CD44,,R-HSA-997326;R-HSA-9730967;R-HSA-9732753;R-HSA-9734547;R-HSA-873924;R-HSA-873927;R-HSA-1031716;R-HSA-873926;R-HSA-873921;R-HSA-877281;R-HSA-9732729;R-HSA-1031713;R-HSA-873922;R-HSA-873917;R-HSA-877308;R-HSA-873919;R-HSA-9678561;R-HSA-873918;R-HSA-9732738;R-HSA-877269;R-HSA-909552
R-HSA-9675108,Nervous system development,23,621,0.040157786,0.752205464,0.752205464,49,324,0.022006385,9606,Homo sapiens,FLG;SPTBN5;TRIO;UNC5A;ROCK1;MMP2;GPR98;CYP51A1;CRMP1;MMP9;RPL7;CACNA1I;TIAM1;REG;COL4A1;SLIT1;PSME2;NCAM2;DOCK1;EIF4G2;SCN1A,,R-HSA-525833;R-HSA-3928627;R-HSA-419087;R-HSA-9621406;R-HSA-9621404;R-HSA-3928616;R-HSA-593685;R-HSA-418850;R-HSA-4093336;R-HSA-9680443;R-HSA-9614778;R-HSA-392751;R-HSA-418858;R-HSA-418856;R-HSA-443817;R-HSA-4093327;R-HSA-418865;R-HSA-391868;R-HSA-3928577;R-HSA-391871;R-HSA-3928576;R-HSA-418874;R-HSA-391865;R-HSA-9010231;R-HSA-391866;R-HSA-399951;R-HSA-399947;R-HSA-399944;R-HSA-8985799;R-HSA-373713;R-HSA-9010396;R-HSA-373715;R-HSA-9014610;R-HSA-8985812;R-HSA-419033;R-HSA-437230;R-HSA-3928657;R-HSA-375151;R-HSA-373739;R-HSA-419049;R-HSA-392053;R-HSA-373751;R-HSA-392054;R-HSA-9014652;R-HSA-392051;R-HSA-9011313;R-HSA-3928642;R-HSA-419197;R-HSA-3928645
R-HSA-5419276,Mitochondrial translation termination,3,94,0.006078634,0.75278767,0.75278767,5,5,3.40E-04,9606,Homo sapiens,MRPL20;MRPS15;MRPL1,,R-HSA-5419264;R-HSA-5419281;R-HSA-5419271;R-HSA-5419273;R-HSA-5419277
R-HSA-5389840,Mitochondrial translation elongation,3,94,0.006078634,0.75278767,0.75278767,5,8,5.43E-04,9606,Homo sapiens,MRPL20;MRPS15;MRPL1,,R-HSA-5389842;R-HSA-5389857;R-HSA-5389848;R-HSA-5419279;R-HSA-5419261
R-HSA-5621480,Dectin-2 family,2,65,0.004203311,0.755512651,0.755512651,1,12,8.15E-04,9606,Homo sapiens,MUC19;MUC5B,,R-HSA-8858500
R-HSA-162909,Host Interactions of HIV factors,5,151,0.009764615,0.756584654,0.756584654,7,54,0.003667731,9606,Homo sapiens,NUP214;REG;PSME2;NUPL2,,R-HSA-165043;R-HSA-180710;R-HSA-165047;R-HSA-180603;R-HSA-180622;R-HSA-180732;R-HSA-180573
R-HSA-5689880,Ub-specific processing proteases,7,206,0.013321262,0.758074487,0.758074487,6,40,0.002716838,9606,Homo sapiens,TEP1;REG;TOMM70A;USP11;HIST1H2AJ;PSME2;HIST1H2AB,,R-HSA-5689539;R-HSA-5690080;R-HSA-5689950;R-HSA-5690157;R-HSA-6781897;R-HSA-5696872
R-HSA-69242,S Phase,6,179,0.011575272,0.758970318,0.758970318,16,55,0.003735652,9606,Homo sapiens,REG;CDC27;PSME2;SMC3;ANAPC2,,R-HSA-69152;R-HSA-2468039;R-HSA-2473152;R-HSA-69127;R-HSA-2468041;R-HSA-75825;R-HSA-69074;R-HSA-187574;R-HSA-68948;R-HSA-69140;R-HSA-69015;R-HSA-69142;R-HSA-69016;R-HSA-69144;R-HSA-2473151;R-HSA-69116
R-HSA-9619483,Activation of AMPK downstream of NMDARs,1,34,0.002198655,0.759273987,0.759273987,3,3,2.04E-04,9606,Homo sapiens,PRKAA2,,R-HSA-9619542;R-HSA-9619478;R-HSA-9619515
R-HSA-171319,Telomere Extension By Telomerase,1,34,0.002198655,0.759273987,0.759273987,8,10,6.79E-04,9606,Homo sapiens,POT1,,R-HSA-163090;R-HSA-163120;R-HSA-163099;R-HSA-163096;R-HSA-9686521;R-HSA-164617;R-HSA-164620;R-HSA-9686524
R-HSA-9757110,Prednisone ADME,1,34,0.002198655,0.759273987,0.759273987,4,14,9.51E-04,9606,Homo sapiens,ALB,,R-HSA-9757574;R-HSA-9762343;R-HSA-9762345;R-HSA-9757578
R-HSA-5620971,Pyroptosis,1,34,0.002198655,0.759273987,0.759273987,1,23,0.001562182,9606,Homo sapiens,HMGB1,,R-HSA-6805981
R-HSA-622312,Inflammasomes,1,34,0.002198655,0.759273987,0.759273987,1,28,0.001901786,9606,Homo sapiens,BCL2L1,,R-HSA-879201
R-HSA-5610787,Hedgehog 'off' state,4,124,0.008018624,0.761529555,0.761529555,19,32,0.00217347,9606,Homo sapiens,REG;PSME2;ADCY1;GLI3,,R-HSA-5612508;R-HSA-5612510;R-HSA-5610746;R-HSA-5617413;R-HSA-5610757;R-HSA-5617412;R-HSA-5610727;R-HSA-5610758;R-HSA-5610720;R-HSA-5617408;R-HSA-5610752;R-HSA-5610723;R-HSA-5610722;R-HSA-5610754;R-HSA-5617410;R-HSA-5610732;R-HSA-5610767;R-HSA-5610766;R-HSA-5610760
R-HSA-72662,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",2,66,0.004267977,0.762921227,0.762921227,5,6,4.08E-04,9606,Homo sapiens,EIF4A2;EIF4G2,,R-HSA-72647;R-HSA-72631;R-HSA-72635;R-HSA-156808;R-HSA-157849
R-HSA-4608870,Asymmetric localization of PCP proteins,2,66,0.004267977,0.762921227,0.762921227,1,7,4.75E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-4608855
R-HSA-5678895,Defective CFTR causes cystic fibrosis,2,66,0.004267977,0.762921227,0.762921227,1,8,5.43E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-8866858
R-HSA-5607761,Dectin-1 mediated noncanonical NF-kB signaling,2,66,0.004267977,0.762921227,0.762921227,1,9,6.11E-04,9606,Homo sapiens,REG;PSME2,,R-HSA-5607731
R-HSA-425407,SLC-mediated transmembrane transport,15,419,0.027095189,0.763087512,0.763087512,15,194,0.013176662,9606,Homo sapiens,SLC12A2;SLC12A3;SLC24A4;SLC32A1;SLC2A13;SLC11A2;SLC4A1;SLC2A3;SLC4A2;SLC6A20;SLCO4C1;SLC22A8;SLC26A4;SLC18A2,,R-HSA-426086;R-HSA-444160;R-HSA-879594;R-HSA-425678;R-HSA-429101;R-HSA-425482;R-HSA-5627802;R-HSA-352052;R-HSA-435349;R-HSA-426130;R-HSA-8981564;R-HSA-428625;R-HSA-8981553;R-HSA-561041;R-HSA-9725706
R-HSA-5368286,Mitochondrial translation initiation,3,96,0.006207967,0.765224252,0.765224252,3,4,2.72E-04,9606,Homo sapiens,MRPL20;MRPS15;MRPL1,,R-HSA-5368279;R-HSA-5389849;R-HSA-5389839
R-HSA-9018519,Estrogen-dependent gene expression,5,153,0.009893947,0.766475949,0.766475949,15,66,0.004482782,9606,Homo sapiens,HIST1H2AJ;HIST1H4I;SMC3;HIST1H3C;HIST1H2AB,,R-HSA-9009065;R-HSA-9011949;R-HSA-9011981;R-HSA-9011983;R-HSA-9011950;R-HSA-9012000;R-HSA-9009378;R-HSA-9011941;R-HSA-9011975;R-HSA-9009371;R-HSA-9011997;R-HSA-9011966;R-HSA-9011985;R-HSA-9011952;R-HSA-9011984
R-HSA-9006335,Signaling by Erythropoietin,1,35,0.002263321,0.769159557,0.769159557,25,25,0.001698024,9606,Homo sapiens,JAK2,,R-HSA-9027273;R-HSA-9027272;R-HSA-9027275;R-HSA-9027274;R-HSA-9029149;R-HSA-9029151;R-HSA-9032478;R-HSA-9029150;R-HSA-9027281;R-HSA-9027280;R-HSA-9709454;R-HSA-9024723;R-HSA-9024726;R-HSA-9012651;R-HSA-9012650;R-HSA-9027373;R-HSA-9012654;R-HSA-9027425;R-HSA-9029155;R-HSA-9029158;R-HSA-9021627;R-HSA-9006332;R-HSA-9012657;R-HSA-9006323;R-HSA-9006325
R-HSA-9709570,Impaired BRCA2 binding to RAD51,1,35,0.002263321,0.769159557,0.769159557,1,1,6.79E-05,9606,Homo sapiens,ATM,,R-HSA-9709571
R-HSA-392154,Nitric oxide stimulates guanylate cyclase,1,35,0.002263321,0.769159557,0.769159557,2,7,4.75E-04,9606,Homo sapiens,GUCY1A2,,R-HSA-392143;R-HSA-392152
R-HSA-5656169,Termination of translesion DNA synthesis,1,35,0.002263321,0.769159557,0.769159557,2,9,6.11E-04,9606,Homo sapiens,CDC27,,R-HSA-5653840;R-HSA-5653838
R-HSA-5654733,Negative regulation of FGFR4 signaling,1,35,0.002263321,0.769159557,0.769159557,3,14,9.51E-04,9606,Homo sapiens,FGFR4,,R-HSA-5654566;R-HSA-5654734;R-HSA-5654684
R-HSA-418360,Platelet calcium homeostasis,1,35,0.002263321,0.769159557,0.769159557,1,8,5.43E-04,9606,Homo sapiens,ATP2B1,,R-HSA-418309
R-HSA-180786,Extension of Telomeres,2,67,0.004332644,0.770134351,0.770134351,23,28,0.001901786,9606,Homo sapiens,CDC27;POT1,,R-HSA-174438;R-HSA-174439;R-HSA-9668597;R-HSA-9686521;R-HSA-174441;R-HSA-164617;R-HSA-174446;R-HSA-174447;R-HSA-174444;R-HSA-164620;R-HSA-174445;R-HSA-9686524;R-HSA-163090;R-HSA-174451;R-HSA-174448;R-HSA-163120;R-HSA-174452;R-HSA-163099;R-HSA-174427;R-HSA-174456;R-HSA-163096;R-HSA-174425;R-HSA-176702
R-HSA-9033241,Peroxisomal protein import,2,67,0.004332644,0.770134351,0.770134351,8,26,0.001765944,9606,Homo sapiens,POT1;ACOT6,,R-HSA-9033529;R-HSA-9033240;R-HSA-9033514;R-HSA-9033233;R-HSA-9033232;R-HSA-9033235;R-HSA-9033236;R-HSA-9033238
R-HSA-983712,Ion channel transport,7,209,0.013515261,0.770780279,0.770780279,4,51,0.003463968,9606,Homo sapiens,WNK4;ANO6;ATP2B1;ANO4;SGK1;ANO5;TPCN1,,R-HSA-418309;R-HSA-2682349;R-HSA-2685505;R-HSA-2684901
R-HSA-8980692,RHOA GTPase cycle,5,154,0.009958614,0.771306136,0.771306136,3,6,4.08E-04,9606,Homo sapiens,TIAM1;TRIO;ROCK1;ARHGAP28,,R-HSA-9013009;R-HSA-8980691;R-HSA-8981637
R-HSA-379724,tRNA Aminoacylation,2,68,0.00439731,0.777155574,0.777155574,10,42,0.002852679,9606,Homo sapiens,DARS;WARS,,R-HSA-379893;R-HSA-379861;R-HSA-379974;R-HSA-379982;R-HSA-379977;R-HSA-379865;R-HSA-379993;R-HSA-380008;R-HSA-379867;R-HSA-379994
R-HSA-983189,Kinesins,2,68,0.00439731,0.777155574,0.777155574,3,14,9.51E-04,9606,Homo sapiens,CENPE;KIF21B,,R-HSA-983259;R-HSA-983266;R-HSA-984689
R-HSA-9006934,Signaling by Receptor Tyrosine Kinases,23,631,0.040804449,0.777313714,0.777313714,116,749,0.050872784,9606,Homo sapiens,FLG;EGR1;ROCK1;STAT1;LAMA4;COL11A2;PLG;IL2RG;MMP9;TIAM1;VGF;COL4A1;PTK2B;SGK1;JAK2;FGFR4;JUNB;DOCK1,,R-HSA-9613202;R-HSA-9613207;R-HSA-9613210;R-HSA-1433374;R-HSA-5654596;R-HSA-5654597;R-HSA-5654594;R-HSA-5654592;R-HSA-9621386;R-HSA-9621385;R-HSA-9031575;R-HSA-5654600;R-HSA-9701556;R-HSA-1307955;R-HSA-9701557;R-HSA-9851058;R-HSA-9620663;R-HSA-190245;R-HSA-1307963;R-HSA-5654655;R-HSA-1470012;R-HSA-5654653;R-HSA-1470010;R-HSA-5654651;R-HSA-5654392;R-HSA-1470009;R-HSA-9613219;R-HSA-190256;R-HSA-190265;R-HSA-190268;R-HSA-9031624;R-HSA-5218830;R-HSA-5218826;R-HSA-9612501;R-HSA-9031616;R-HSA-9612509;R-HSA-9612483;R-HSA-191062;R-HSA-5656064;R-HSA-5218839;R-HSA-5218836;R-HSA-1433418;R-HSA-9612493;R-HSA-5654582;R-HSA-9620723;R-HSA-382054;R-HSA-5654578;R-HSA-1433456;R-HSA-382061;R-HSA-5654591;R-HSA-380782;R-HSA-5654586;R-HSA-5218851;R-HSA-5654587;R-HSA-5654584;R-HSA-5654566;R-HSA-9612514;R-HSA-190326;R-HSA-9612516;R-HSA-5654560;R-HSA-5654575;R-HSA-9616105;R-HSA-5654573;R-HSA-3928647;R-HSA-9616110;R-HSA-9616367;R-HSA-5654571;R-HSA-1433451;R-HSA-5654569;R-HSA-9620717;R-HSA-109699;R-HSA-5228992;R-HSA-5654734;R-HSA-9621042;R-HSA-5654514;R-HSA-8941613;R-HSA-9621048;R-HSA-9621054;R-HSA-5218811;R-HSA-9033276;R-HSA-9621035;R-HSA-9621032;R-HSA-9612073;R-HSA-9612076;R-HSA-8941623;R-HSA-5654422;R-HSA-5654167;R-HSA-5654423;R-HSA-5654165;R-HSA-5654418;R-HSA-9033292;R-HSA-5654163;R-HSA-5654672;R-HSA-5654673;R-HSA-5654428;R-HSA-5654684;R-HSA-5654426;R-HSA-9033284;R-HSA-5654169;R-HSA-5654425;R-HSA-5654662;R-HSA-5654151;R-HSA-5654663;R-HSA-5654149;R-HSA-5654658;R-HSA-5654659;R-HSA-8874079;R-HSA-190427;R-HSA-5654669;R-HSA-5654667;R-HSA-5654664;R-HSA-190429;R-HSA-5654717;R-HSA-5654714;R-HSA-5654692;R-HSA-5654690
R-HSA-5654716,Downstream signaling of activated FGFR4,1,36,0.002327988,0.778639771,0.778639771,22,23,0.001562182,9606,Homo sapiens,FGFR4,,R-HSA-5654422;R-HSA-5654423;R-HSA-5654418;R-HSA-5654163;R-HSA-8941613;R-HSA-5654655;R-HSA-5654428;R-HSA-5654653;R-HSA-5654717;R-HSA-5654426;R-HSA-5654714;R-HSA-5654651;R-HSA-5654169;R-HSA-5654425;R-HSA-5654662;R-HSA-5654151;R-HSA-5654663;R-HSA-5654658;R-HSA-5654659;R-HSA-5654669;R-HSA-5654667;R-HSA-5654664
R-HSA-380972,Energy dependent regulation of mTOR by LKB1-AMPK,1,36,0.002327988,0.778639771,0.778639771,5,7,4.75E-04,9606,Homo sapiens,PRKAA2,,R-HSA-380949;R-HSA-447074;R-HSA-200421;R-HSA-380930;R-HSA-380927
R-HSA-9008059,Interleukin-37 signaling,1,36,0.002327988,0.778639771,0.778639771,4,14,9.51E-04,9606,Homo sapiens,IL1RL1,,R-HSA-9008684;R-HSA-9008577;R-HSA-8848335;R-HSA-9009072
R-HSA-9706574,RHOBTB GTPase Cycle,1,36,0.002327988,0.778639771,0.778639771,1,4,2.72E-04,9606,Homo sapiens,ROCK1,,R-HSA-9018778
R-HSA-2206281,Mucopolysaccharidoses,1,36,0.002327988,0.778639771,0.778639771,2,22,0.001494261,9606,Homo sapiens,GLB1,,R-HSA-9036061;R-HSA-2265534
R-HSA-5223345,Miscellaneous transport and binding events,1,36,0.002327988,0.778639771,0.778639771,1,13,8.83E-04,9606,Homo sapiens,ANKH,,R-HSA-5226964
R-HSA-112311,Neurotransmitter clearance,1,36,0.002327988,0.778639771,0.778639771,1,16,0.001086735,9606,Homo sapiens,BCHE,,R-HSA-372519
R-HSA-1592230,Mitochondrial biogenesis,4,128,0.008277289,0.782553135,0.782553135,9,36,0.002445154,9606,Homo sapiens,PRKAA2;ACSS2;ATP5F1;PPRC1,,R-HSA-1592232;R-HSA-1592249;R-HSA-1592250;R-HSA-8949580;R-HSA-1592252;R-HSA-5688289;R-HSA-2466367;R-HSA-1592244;R-HSA-1592246
